neo_name,close_approach_date,velocity,lunar_distance
(2005 KA),1900-04-11,39485.9933638146,89.2925222899
(2005 KA),1900-09-06,24299.2354274094,106.6682309434
(2005 KA),1903-11-27,36081.1700337409,124.2672862809
(2005 KA),1904-05-26,67790.9667314135,184.6518993162
(2005 KA),1907-05-08,13354.2783091588,4.7477871287
(2005 KA),1910-10-23,35981.1564103857,125.3152375378
(2005 KA),1912-04-18,41671.4051412119,54.2954914721
(2005 KA),1914-01-20,19753.199068044,94.0987469047
(2005 KA),1914-06-04,30323.1725397338,57.5578642846
(2005 KA),1915-06-07,22921.8053787181,28.6175722971
(2005 KA),1917-04-13,48096.3640919022,119.4148053649
(2005 KA),1917-09-19,28542.0609672513,114.0639877521
(2005 KA),1918-08-09,23602.8240599983,19.1915537682
(2005 KA),1920-12-09,33446.867772894,119.1661686239
(2005 KA),1921-05-28,57486.9066477102,149.9440492312
(2005 KA),1921-09-28,34367.262953234,31.1458297556
(2005 KA),1924-04-09,21297.5727808706,29.8320067626
(2005 KA),1927-11-11,36834.6011280714,125.6464649305
(2005 KA),1931-05-25,14785.1357404653,5.6990177368
(2005 KA),1934-04-18,58928.4734915966,155.2383884008
(2005 KA),1934-10-04,32927.1438077566,121.7512737255
(2005 KA),1937-12-13,33047.106598105,118.8942036307
(2005 KA),1938-05-29,55236.929070605,141.482432228
(2005 KA),1941-04-15,16297.8298539694,13.97224593
(2005 KA),1944-10-26,36573.4118281874,126.441822305
(2005 KA),1945-07-13,31277.9864516048,36.5939903394
(2005 KA),1948-01-16,22141.4527326077,98.9760294882
(2005 KA),1948-06-04,33860.918223289,69.301071984
(2005 KA),1948-08-28,22902.5952639011,27.9893029095
(2005 KA),1951-04-12,39880.0073121048,90.8247028474
(2005 KA),1951-09-07,24276.1661571911,106.7467941225
(2005 KA),1951-10-17,23768.4365304707,24.296741999
(2005 KA),1954-11-22,36482.3841374046,125.2691939418
(2005 KA),1954-12-03,23926.8902226141,17.7364302207
(2005 KA),1958-01-13,30795.9264460507,24.6575541643
(2005 KA),1958-05-26,15103.2206621877,7.4844387336
(2005 KA),1961-02-11,31947.4531992676,26.418207959
(2005 KA),1961-04-16,53436.9291924938,135.9674626836
(2005 KA),1961-09-26,31134.3573355891,118.951105267
(2005 KA),1964-03-12,34447.7988051857,30.9362759224
(2005 KA),1964-12-02,35712.991209262,124.2106935106
(2005 KA),1965-05-27,64424.7173405653,172.2039048789
(2005 KA),1967-04-12,39389.0906183616,40.5873282672
(2005 KA),1968-05-15,15775.7749169884,3.5323241472
(2005 KA),1968-05-17,13860.4761462455,3.9102487337
(2005 KA),1970-05-10,41195.9333784103,43.3679506427
(2005 KA),1971-04-16,57741.0489469084,149.7855615675
(2005 KA),1971-10-02,32967.4044225592,122.1478216092
(2005 KA),1973-06-08,44965.2604023421,51.2200861803
(2005 KA),1974-12-08,34677.2197188395,122.5048800801
(2005 KA),1975-05-28,59394.4166341148,154.2519929707
(2005 KA),1978-04-28,13647.9206531706,5.0250250558
(2005 KA),1981-04-19,66981.9928482925,181.586637744
(2005 KA),1981-10-13,35557.8650781305,125.7934081245
(2005 KA),1984-12-25,29418.9737939481,112.7433700183
(2005 KA),1985-06-01,45522.7776402167,107.3871062888
(2005 KA),1988-04-07,27152.3213589116,46.2389794579
(2005 KA),1988-08-12,15363.2376408106,91.0145339527
(2005 KA),1991-11-06,37644.0170181199,128.3265087108
(2005 KA),1995-01-31,15243.7324361807,87.3409673676
(2005 KA),1995-06-04,25320.8542594289,39.4190027886
(2005 KA),1998-04-12,47396.5863874704,114.3862654607
(2005 KA),1998-09-17,28721.8970269882,114.9795256263
(2005 KA),2001-11-28,36153.6777822427,124.9067799912
(2005 KA),2002-05-26,65535.9946826566,175.5383767797
(2005 KA),2005-05-13,13703.6266067682,4.3433181936
(2005 KA),2008-04-15,61688.4187028472,163.1405779688
(2005 KA),2008-10-05,34078.6658039872,123.8951593115
(2005 KA),2009-06-29,38917.2709520305,46.2399530471
(2005 KA),2011-12-13,32888.65950855,119.0716597902
(2005 KA),2012-05-28,53911.8558583682,135.8782725691
(2005 KA),2012-07-30,32375.113527858,36.0376241397
(2005 KA),2015-04-14,15867.9748526839,10.6488134213
(2005 KA),2015-09-01,27038.3554445122,30.4371297555
(2005 KA),2018-10-21,22937.9650806506,27.0318630056
(2005 KA),2018-10-22,36589.5296748864,126.9365360503
(2005 KA),2021-12-11,23459.8548061963,22.0615383129
(2005 KA),2022-01-08,24191.1100627744,103.0120728863
(2005 KA),2022-06-02,36541.5633735916,77.5563684442
(2005 KA),2025-01-25,25119.23047611,17.1194532308
(2005 KA),2025-04-08,37065.2206221515,79.5868286322
(2005 KA),2025-08-31,22937.1079401631,104.2689870076
(2005 KA),2028-03-05,37210.7312491878,36.223220202
(2005 KA),2028-11-18,36849.0125850998,126.3562678623
(2005 KA),2032-05-20,14360.6952046341,5.7360273524
(2005 KA),2035-04-15,57973.3645062154,149.9425489749
(2005 KA),2035-10-01,32900.7106608541,122.1467524816
(2005 KA),2038-12-08,34219.1181303345,121.6762800882
(2005 KA),2039-05-28,57882.5334892487,149.0997394743
(2005 KA),2042-04-19,14376.2184187448,5.0353539783
(2005 KA),2045-10-22,36625.5354361439,126.8523000842
(2005 KA),2049-01-14,21510.9147555953,98.0070054366
(2005 KA),2049-06-03,32281.5778398427,63.0014865999
(2005 KA),2052-04-09,44488.5078854095,104.4303414457
(2005 KA),2052-09-12,27285.8572705703,111.8430388543
(2005 KA),2055-01-07,40880.4886971745,50.3046325246
(2005 KA),2055-11-30,35443.8978318787,123.5132261967
(2005 KA),2056-05-25,63524.8057847058,169.3099322991
(2005 KA),2058-02-14,25057.5102703737,28.4403624913
(2005 KA),2059-04-22,13954.5174881442,4.1370106432
(2005 KA),2059-04-23,15587.136815211,3.7494839418
(2005 KA),2061-04-16,23472.5315221758,23.3366850976
(2005 KA),2062-10-24,36455.179164237,126.1011602619
(2005 KA),2064-06-15,30007.9903165247,24.0917457676
(2005 KA),2066-01-24,17049.0553223558,90.0020283369
(2005 KA),2066-06-02,27072.180236539,46.8286242575
(2005 KA),2069-04-12,53408.7809038768,135.7330202414
(2005 KA),2069-09-25,31122.356358312,117.9774738994
(2005 KA),2072-12-18,30739.4366672992,114.6423635329
(2005 KA),2073-05-29,49090.5095759903,120.4897213627
(2005 KA),2076-04-06,31492.7906091765,60.823937304
(2005 KA),2076-08-20,19205.5117505341,96.8532739154
(2005 KA),2079-11-20,36296.1984481456,124.8827431366
(2005 KA),2080-05-22,70138.3991626976,192.3000957299
(2005 KA),2082-02-15,24222.4195684697,28.1217297905
(2005 KA),2083-04-27,13585.9307195092,3.889789162
(2005 KA),2083-04-29,16215.4235977659,3.2697741988
(2005 KA),2085-04-18,23508.5244506058,21.7204016898
(2005 KA),2086-10-19,36145.2539942536,125.6765326077
(2005 KA),2088-06-13,31753.1729284178,27.1189292968
(2005 KA),2090-01-15,20316.6281140695,95.6321115393
(2005 KA),2090-06-01,30836.9021918534,59.3018584152
(2005 KA),2093-04-10,49200.6596794985,121.4132336591
(2005 KA),2093-09-17,29297.0419564458,115.0678250475
(2005 KA),2096-12-10,32510.2013234571,117.8460660817
(2005 KA),2097-05-26,53893.6572649802,137.1847023837
(2005 KA),2100-04-05,26134.5085724116,43.3759955906
(2005 KA),2103-11-14,36835.0998883254,125.7632001739
(2005 KA),2110-04-16,64687.5513665327,174.1907307813
(2005 KA),2114-05-29,45109.6030992409,106.7894990093
(2005 KA),2117-04-05,30932.940261137,58.5701946559
(2005 KA),2127-04-14,59115.6735772993,154.0808704703
(2005 KA),2137-10-27,37092.4548902698,127.423078306
