neo_name,close_approach_date,velocity,lunar_distance
(2017 YQ5),2011-12-21,33693.3821144529,64.384239187
(2017 YQ5),2012-12-23,33691.7139125241,59.9725893701
(2017 YQ5),2013-12-26,33819.3265175248,55.9332490803
(2017 YQ5),2014-12-28,33958.4289182693,52.4997519391
(2017 YQ5),2015-12-30,34211.2405298057,49.8120623638
(2017 YQ5),2016-12-31,34574.0527347711,48.0208448002
(2017 YQ5),2018-01-02,35021.5113454306,47.4692132362
(2017 YQ5),2019-01-04,35680.0330419723,48.1049083226
(2017 YQ5),2020-01-06,36450.8460911754,50.1870149125
(2017 YQ5),2021-01-07,37557.4642215235,53.8274509511
(2017 YQ5),2022-01-08,38864.4945250824,59.1403885608
(2017 YQ5),2023-01-10,40551.8444896406,66.0141635411
(2017 YQ5),2024-01-11,42562.1533025844,74.300087644
(2017 YQ5),2025-01-11,44896.8626690764,83.9715486404
(2017 YQ5),2025-05-18,29753.116233574,57.83995487
(2017 YQ5),2026-01-12,47748.7292130634,95.109371122
(2017 YQ5),2027-01-12,50805.1524161862,107.149878451
(2017 YQ5),2028-01-12,54215.0266411192,119.9936125078
(2017 YQ5),2029-01-11,57888.315264784,133.4803967074
(2017 YQ5),2030-01-11,61658.0686709845,147.5410049988
(2017 YQ5),2031-01-10,65653.2153379318,161.8596763959
(2017 YQ5),2032-01-10,69740.9293462916,176.4085768984
(2017 YQ5),2033-01-08,73830.0666608813,191.2111900473
(2017 YQ5),2174-12-19,33658.2858860938,70.2447258446
(2017 YQ5),2175-12-22,33637.9342418715,65.3343746434
(2017 YQ5),2176-12-24,33696.9283752206,60.6737112612
(2017 YQ5),2177-12-26,33783.3389822214,56.5078941566
(2017 YQ5),2178-12-29,33938.1617882569,52.9337313867
(2017 YQ5),2179-12-31,34210.7225775298,50.0887234817
(2017 YQ5),2180-05-23,30827.6824771909,48.3719819131
(2017 YQ5),2181-01-02,34550.9732128695,48.3141774856
(2017 YQ5),2182-01-04,35108.4182054542,47.7738067325
(2017 YQ5),2183-01-06,35748.4171495778,48.7319397177
(2017 YQ5),2184-01-08,36721.5244786465,51.3167971819
(2017 YQ5),2185-01-08,37871.6326616567,55.7080284666
(2017 YQ5),2186-01-10,39425.8574585682,61.827043435
(2017 YQ5),2187-01-11,41262.880208836,69.5057355815
(2017 YQ5),2188-01-13,43493.2739054284,78.6996257514
(2017 YQ5),2189-01-12,46191.7579552639,89.3355840842
(2017 YQ5),2190-01-13,49135.7829040528,101.1062577899
(2017 YQ5),2191-01-13,52504.0992281171,113.8165721599
(2017 YQ5),2192-01-13,56100.8568296574,127.2449349002
(2017 YQ5),2193-01-12,59869.4949986587,141.3094745423
(2017 YQ5),2193-04-21,32682.1647309411,55.0765741415
(2017 YQ5),2194-01-12,63899.6038972031,155.736760341
(2017 YQ5),2195-01-11,67948.3749310445,170.31297973
(2017 YQ5),2196-01-11,72081.4593765708,185.1879744979
