neo_name,close_approach_date,velocity,lunar_distance
306523 (1999 XR35),1914-09-05,9177.1048583569,760.8908486951
306523 (1999 XR35),1919-12-29,31602.2094457507,176.8889887086
306523 (1999 XR35),1931-01-07,45886.4026284262,154.5385120877
306523 (1999 XR35),1961-12-15,9095.1444541954,772.7886792265
306523 (1999 XR35),1971-01-03,31179.8189200719,152.0597729288
306523 (1999 XR35),2022-01-08,34744.5231079482,137.7319448996
306523 (1999 XR35),2061-12-29,30300.881844599,180.8406101208
306523 (1999 XR35),2073-01-07,48778.763824787,172.0866156606
306523 (1999 XR35),2073-03-26,24168.7540487976,176.1451653539
306523 (1999 XR35),2113-01-07,29774.1676599519,148.3921924702
306523 (1999 XR35),2164-01-13,33577.2012463866,143.3574538121
306523 (1999 XR35),2164-03-16,26278.7830105471,147.784840235
306523 (1999 XR35),2188-01-13,9483.3077928044,765.369012066
