neo_name,close_approach_date,velocity,lunar_distance
(2020 KW5),1934-02-04,115538.3547249218,157.8072207377
(2020 KW5),1936-05-27,78869.292755652,29.372654012
(2020 KW5),1976-06-03,60416.9646442754,39.4846855553
(2020 KW5),1978-01-10,50567.0522690318,78.5636988429
(2020 KW5),2012-06-26,42665.8755667997,32.9860204353
(2020 KW5),2018-02-07,122206.6727753706,179.8023237634
(2020 KW5),2020-05-31,69449.0309119764,6.2187354296
(2020 KW5),2020-06-28,55084.6635350879,48.3175298487
(2020 KW5),2022-01-08,43274.7157352159,105.7633604217
(2020 KW5),2023-03-29,98547.8311258834,50.9757614265
(2020 KW5),2033-03-03,36661.8600151121,30.9988304678
(2020 KW5),2053-01-30,103024.4501035357,116.09866046
(2020 KW5),2055-05-26,85249.9130316149,52.2349644238
(2020 KW5),2056-10-02,86579.5119783156,25.4747523717
(2020 KW5),2059-07-05,62520.0947610602,30.4382771888
(2020 KW5),2064-06-08,47378.7871422833,91.3606509039
(2020 KW5),2066-01-16,65811.5682341742,32.4442636752
(2020 KW5),2068-05-10,122064.8895835758,180.6305473589
