neo_name,close_approach_date,velocity,lunar_distance
417210 (2005 XV77),1901-07-09,75265.5671574192,21.151930238
417210 (2005 XV77),1904-02-05,55013.7048059617,89.9125543302
417210 (2005 XV77),1905-12-27,41702.759126213,42.0285689104
417210 (2005 XV77),1906-04-23,44732.513549385,178.4261778356
417210 (2005 XV77),1907-10-06,80117.8753651589,13.8143472123
417210 (2005 XV77),1907-12-19,80508.0460338205,140.1901610798
417210 (2005 XV77),1911-01-30,91215.4442100304,187.3253838174
417210 (2005 XV77),1912-09-17,54482.3161108574,193.7947161979
417210 (2005 XV77),1913-01-28,43709.4853702679,65.0727480643
417210 (2005 XV77),1913-05-01,80480.2356490021,35.9369764192
417210 (2005 XV77),1914-12-17,47962.8109004818,43.9656380562
417210 (2005 XV77),1919-07-29,75408.319949287,2.8677273333
417210 (2005 XV77),1920-02-04,72013.2023063084,133.4154880507
417210 (2005 XV77),1922-01-12,41111.0038387552,54.4894156743
417210 (2005 XV77),1923-12-16,63078.4339889681,86.4526032051
417210 (2005 XV77),1925-10-26,91270.4252136282,33.7141349586
417210 (2005 XV77),1929-02-05,54061.8692805904,87.8064528199
417210 (2005 XV77),1930-12-27,41835.145517384,41.1946629585
417210 (2005 XV77),1931-04-25,46674.1672922873,179.8202573247
417210 (2005 XV77),1931-05-21,74715.4608103566,17.7782959956
417210 (2005 XV77),1932-12-19,81797.3945401064,144.1549391722
417210 (2005 XV77),1936-01-31,89675.8780283539,183.0846485804
417210 (2005 XV77),1937-08-17,81484.4388873391,16.6252224679
417210 (2005 XV77),1937-09-19,52675.9998042636,192.3417436648
417210 (2005 XV77),1938-01-27,43264.1943998262,64.1276937259
417210 (2005 XV77),1939-12-17,48932.920765548,46.0251505536
417210 (2005 XV77),1943-03-12,79450.3799329356,33.9229784389
417210 (2005 XV77),1945-02-04,70350.1464214048,128.9137588264
417210 (2005 XV77),1947-01-11,41089.2852184628,53.5389024211
417210 (2005 XV77),1948-12-15,64686.2906634368,91.3591641848
417210 (2005 XV77),1949-06-09,75682.1542799084,2.7506614788
417210 (2005 XV77),1954-02-05,52609.6926098215,84.7213081351
417210 (2005 XV77),1955-09-07,91719.9033728238,34.2337574242
417210 (2005 XV77),1955-12-26,42055.5117770474,40.0643778288
417210 (2005 XV77),1956-04-27,48986.417464582,181.5843662174
417210 (2005 XV77),1957-12-20,83529.064977588,149.282669564
417210 (2005 XV77),1961-01-31,88131.9837246952,178.7214239342
417210 (2005 XV77),1961-03-31,74503.1710540843,15.9465310559
417210 (2005 XV77),1962-09-21,50723.9250972898,190.8678211866
417210 (2005 XV77),1963-01-26,42870.9752178224,63.297734957
417210 (2005 XV77),1964-12-16,49912.095069108,48.3670464367
417210 (2005 XV77),1967-06-29,82744.5825021802,19.0359141291
417210 (2005 XV77),1970-02-05,68829.1596019516,124.9609493304
417210 (2005 XV77),1972-01-10,41104.0341216785,52.702951185
417210 (2005 XV77),1973-01-21,78557.3619996643,31.9467085572
417210 (2005 XV77),1973-12-16,66080.7698705302,95.5555184507
417210 (2005 XV77),1979-02-05,51387.3421700231,82.2524070196
417210 (2005 XV77),1979-04-21,75980.9498726516,3.0072889022
417210 (2005 XV77),1980-12-24,42293.144581911,39.1240105903
417210 (2005 XV77),1981-04-29,50707.8405292903,183.0113229751
417210 (2005 XV77),1982-12-20,84870.5725374566,153.2652101744
417210 (2005 XV77),1985-07-18,94702.4457334614,38.5519726309
417210 (2005 XV77),1986-02-01,86962.059196925,175.3589821943
417210 (2005 XV77),1987-09-23,49198.7866904662,189.7814947685
417210 (2005 XV77),1988-01-26,42586.9187708722,62.7865707907
417210 (2005 XV77),1989-12-16,50513.2691102334,49.8174456181
417210 (2005 XV77),1991-02-09,74346.8790824399,10.513103886
417210 (2005 XV77),1995-02-05,67995.0419842087,122.9836843867
417210 (2005 XV77),1997-01-09,41118.8723247805,52.2377926483
417210 (2005 XV77),1997-05-09,85661.2273748612,24.2331745365
417210 (2005 XV77),1998-12-16,66779.0606071346,97.4713063012
417210 (2005 XV77),2002-12-02,76530.0499383946,26.4398184261
417210 (2005 XV77),2004-02-05,51018.3553394516,81.5893421655
417210 (2005 XV77),2005-12-24,42438.4161825384,38.7846858903
417210 (2005 XV77),2006-04-30,51444.6458218031,183.5426609148
417210 (2005 XV77),2007-12-21,85459.3073932561,155.0960554014
417210 (2005 XV77),2009-02-28,78623.2988671835,9.8218222167
417210 (2005 XV77),2011-02-01,86364.0611426182,173.739546914
417210 (2005 XV77),2012-09-23,48351.923715272,189.1061130074
417210 (2005 XV77),2013-01-25,42444.4873214574,62.5598829468
417210 (2005 XV77),2014-09-23,81675.6195290069,38.6397285024
417210 (2005 XV77),2014-12-16,50950.5652276258,50.7363378004
417210 (2005 XV77),2020-02-06,67510.748372008,121.8535195747
417210 (2005 XV77),2020-12-20,74994.4348276622,4.6348272859
