neo_name,close_approach_date,velocity,lunar_distance
(2000 CR101),1904-12-23,7581.1011367818,145.4163779859
(2000 CR101),1915-12-05,13110.6879681793,179.2261723624
(2000 CR101),1925-03-16,10756.9315890513,167.7678361316
(2000 CR101),1926-11-27,26250.0325339304,13.5182353942
(2000 CR101),1936-02-24,5795.4418047599,134.2140651782
(2000 CR101),1947-02-01,3225.3559317331,114.898351168
(2000 CR101),1958-01-10,4349.8189122248,123.6216764792
(2000 CR101),1968-12-18,8986.0991288125,153.5921395839
(2000 CR101),1977-09-04,30478.380535108,16.3079530565
(2000 CR101),1978-03-29,14353.4058792007,191.4694611124
(2000 CR101),1979-11-30,14588.1664763431,189.1183913645
(2000 CR101),1989-03-10,9200.4628767054,157.3146103543
(2000 CR101),2000-02-19,4805.6326416233,127.6884977129
(2000 CR101),2011-01-29,3217.5072888953,114.2926070977
(2000 CR101),2022-01-08,4699.683350575,125.7944863547
(2000 CR101),2031-04-22,30817.965586592,21.9377464539
(2000 CR101),2032-12-19,8986.1918530235,154.2210244862
(2000 CR101),2042-03-29,14375.1342301658,191.5929348472
(2000 CR101),2043-12-01,14665.3805565563,189.0615368361
(2000 CR101),2053-03-10,8888.4376438898,155.6352512967
(2000 CR101),2064-02-18,4591.0373118076,125.410281441
(2000 CR101),2075-01-27,3166.9300390314,114.3424761197
(2000 CR101),2082-01-27,26079.2243274889,17.7274911174
(2000 CR101),2086-01-06,5170.9132507694,129.3342673207
(2000 CR101),2096-12-17,9900.0808200465,159.2966996371
(2000 CR101),2106-03-29,13611.1179119927,186.3142730778
(2000 CR101),2107-12-01,15326.7419367379,193.9677553791
(2000 CR101),2117-03-10,8261.6907692713,151.3835257594
(2000 CR101),2128-02-18,4243.718974429,123.4232030387
(2000 CR101),2139-01-28,3227.7495425357,114.2695422763
(2000 CR101),2143-03-17,27890.2922728525,4.1915468872
(2000 CR101),2150-01-06,5469.9634113339,131.2181274905
(2000 CR101),2160-12-15,10792.0040573854,165.453653192
(2000 CR101),2170-03-25,12263.0401629024,177.6742882158
(2000 CR101),2181-03-04,6674.7894642331,141.0801849886
(2000 CR101),2192-02-10,3525.6569621721,116.8933233917
(2000 CR101),2193-12-25,30437.995692686,15.7963658138
